ID,acc,Confidence,RT,RT_fails,RT_hits,Pair,category,condition,session,PairType,Distance,Block
Participant_3,1,2,1.29673303360482,0,1.29673303360482,CE,O,D,2,Inference,1,3
Participant_3,1,2,1.84095112221758,0,1.84095112221758,BE,O,D,2,Inference,2,3
Participant_3,1,2,1.81552097752365,0,1.81552097752365,AF,O,D,2,Anchor,3,3
Participant_3,1,2,2.84345443842608,0,2.84345443842608,AB,F,U,2,Premise,0,3
Participant_3,1,-1.5,7.26546058804774,0,7.26546058804774,BC,F,U,2,Premise,0,3
Participant_3,1,2,4.68299246294418,0,4.68299246294418,CD,F,U,2,Premise,0,3
Participant_3,1,2,4.65434282937122,0,4.65434282937122,DE,F,U,2,Premise,0,3
Participant_3,1,0.5,4.42526461497482,0,4.42526461497482,EF,F,U,2,Premise,0,3
Participant_3,0,2,8.79614341417891,8.79614341417891,0,BD,F,U,2,Inference,1,3
Participant_3,1,0.5,3.21592020569301,0,3.21592020569301,CE,F,U,2,Inference,1,3
Participant_3,0,2,4.1371724893454,4.1371724893454,0,BE,F,U,2,Inference,2,3
Participant_3,0,0.5,4.69912872341638,4.69912872341638,0,AF,F,U,2,Anchor,3,3
Participant_3,1,2,4.84661024969,0,4.84661024969,AB,S,C,2,Premise,0,3
Participant_3,1,1.5,3.13098790125309,0,3.13098790125309,BC,S,C,2,Premise,0,3
Participant_3,1,2,2.77339991948065,0,2.77339991948065,CD,S,C,2,Premise,0,3
Participant_3,1,2,1.73519607733056,0,1.73519607733056,DE,S,C,2,Premise,0,3
Participant_3,1,2,1.76476943731109,0,1.76476943731109,EF,S,C,2,Premise,0,3
Participant_3,1,1.5,3.08634251499325,0,3.08634251499325,BD,S,C,2,Inference,1,3
Participant_3,1,0.5,4.23010619886327,0,4.23010619886327,CE,S,C,2,Inference,1,3
Participant_3,1,2,2.67066338601308,0,2.67066338601308,BE,S,C,2,Inference,2,3
Participant_3,1,2,2.00946582982192,0,2.00946582982192,AF,S,C,2,Anchor,3,3
Participant_3,1,2,1.56948799668953,0,1.56948799668953,AB,O,D,2,Premise,0,4
Participant_3,1,2,1.3878552192391,0,1.3878552192391,BC,O,D,2,Premise,0,4
Participant_3,1,2,2.98315253916485,0,2.98315253916485,CD,O,D,2,Premise,0,4
Participant_3,1,2,1.16959016958776,0,1.16959016958776,DE,O,D,2,Premise,0,4
Participant_3,1,2,1.12237153402089,0,1.12237153402089,EF,O,D,2,Premise,0,4
Participant_3,0.5,0.5,1.78862047339567,1.49273032610336,2.08451062068798,BD,O,D,2,Inference,1,4
Participant_3,1,2,2.55526094188349,0,2.55526094188349,CE,O,D,2,Inference,1,4
Participant_3,1,2,1.14936779516643,0,1.14936779516643,BE,O,D,2,Inference,2,4
Participant_3,1,2,0.928618035361069,0,0.928618035361069,AF,O,D,2,Anchor,3,4
Participant_3,1,2,2.1699584411333,0,2.1699584411333,AB,F,U,2,Premise,0,4
Participant_3,0.5,2,4.53394674498327,1.78111902581259,7.28677446415395,BC,F,U,2,Premise,0,4
Participant_3,1,2,2.59431344463792,0,2.59431344463792,CD,F,U,2,Premise,0,4
Participant_3,1,2,2.01952512859816,0,2.01952512859816,DE,F,U,2,Premise,0,4
Participant_3,1,1.5,4.04242597276789,0,4.04242597276789,EF,F,U,2,Premise,0,4
Participant_3,0,1.5,5.05674028354974,5.05674028354974,0,BD,F,U,2,Inference,1,4
Participant_3,1,2,2.01993654694115,0,2.01993654694115,CE,F,U,2,Inference,1,4
Participant_3,0,1.5,5.52989736195013,5.52989736195013,0,BE,F,U,2,Inference,2,4
Participant_3,0,0,6.38930103792904,6.38930103792904,0,AF,F,U,2,Anchor,3,4
Participant_3,1,2,2.93058851268665,0,2.93058851268665,AB,S,C,2,Premise,0,4
Participant_3,1,1.5,4.36566653781438,0,4.36566653781438,BC,S,C,2,Premise,0,4
Participant_3,1,2,1.6673075596716,0,1.6673075596716,CD,S,C,2,Premise,0,4
Participant_3,1,2,2.47382144283551,0,2.47382144283551,DE,S,C,2,Premise,0,4
Participant_3,1,2,1.4746514973865,0,1.4746514973865,EF,S,C,2,Premise,0,4
Participant_3,1,2,3.9000224555823,0,3.9000224555823,BD,S,C,2,Inference,1,4
Participant_3,1,2,2.2184196723731,0,2.2184196723731,CE,S,C,2,Inference,1,4
Participant_3,1,2,2.00242391968595,0,2.00242391968595,BE,S,C,2,Inference,2,4
Participant_3,1,2,2.48752287662433,0,2.48752287662433,AF,S,C,2,Anchor,3,4
Participant_5,1,1,1.72904081611716,0,1.72904081611716,AB,S,D,2,Premise,0,1
Participant_5,0,-2,1.60984713199286,1.60984713199286,0,BC,S,D,2,Premise,0,1
Participant_5,0.5,-1,1.27813407637746,1.63454847747767,0.921719675277245,CD,S,D,2,Premise,0,1
Participant_5,1,-1,2.13421313258823,0,2.13421313258823,DE,S,D,2,Premise,0,1
Participant_5,0.5,-0.5,2.37029208616849,2.63658055974622,2.10400361259076,EF,S,D,2,Premise,0,1
Participant_5,0,-0.5,1.4476982563092,1.4476982563092,0,BD,S,D,2,Inference,1,1
Participant_5,1,-1.5,1.41627538819955,0,1.41627538819955,CE,S,D,2,Inference,1,1
Participant_5,0.5,-1.5,1.45693576362169,2.12661719880543,0.787254328437939,BE,S,D,2,Inference,2,1
Participant_5,1,-1.5,2.69635662017492,0,2.69635662017492,AF,S,D,2,Anchor,3,1
Participant_5,0.5,-2,2.24483922945092,1.36306074694426,3.12661771195758,AB,F,U,2,Premise,0,1
Participant_5,1,-1.5,1.26874364974299,0,1.26874364974299,BC,F,U,2,Premise,0,1
Participant_5,0,-2,1.53471730451469,1.53471730451469,0,CD,F,U,2,Premise,0,1
Participant_5,0,-2,1.28184852776667,1.28184852776667,0,DE,F,U,2,Premise,0,1
Participant_5,0,-2,1.32805017601117,1.32805017601117,0,EF,F,U,2,Premise,0,1
